,Rangking,Title,Artist,Date,Source Site,agency
309,10,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,5-19,Melon Music,버스커 버스커
310,11,ON,방탄소년단,5-19,Melon Music,빅히트 엔터테인먼트
311,12,아무노래,지코 (ZICO),5-19,Melon Music,KQ엔터테인먼트
312,13,Blueming,아이유,5-19,Melon Music,EDAM엔터테인먼트
313,14,METEOR,창모,5-19,Melon Music,일리네어 레코즈
314,15,우리 만남이,폴킴,5-19,Melon Music,뉴런뮤직
315,16,그때 그 아인,김필,5-19,Melon Music,"스톤뮤직엔터테인먼트, MMO 엔터테인먼트"
316,17,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,5-19,Melon Music,빅히트 엔터테인먼트
317,18,마음을 드려요,아이유,5-19,Melon Music,EDAM엔터테인먼트
318,19,Dance Monkey,Tones And I,5-19,Melon Music,무소속
319,20,화려하지 않은 고백,규현,5-19,Melon Music,SM엔터테인먼트
320,21,돌덩이,하현우 (국카스텐),5-19,Melon Music,인터파크 엔터테인먼트
321,22,Dolphin,오마이걸,5-19,Melon Music,WM엔터테인먼트
322,23,늦은 밤 너의 집 앞 골목길에서,노을,5-19,Melon Music,씨제스엔터테인먼트
323,24,그대 고운 내사랑,어반자카파,5-19,Melon Music,메이크어스엔터테인먼트
324,25,WANNABE,ITZY,5-19,Melon Music,JYP엔터테인먼트
325,26,Don't Start Now,Dua Lipa,5-19,Melon Music,무소속
326,27,반만,진민호,5-19,Melon Music,무소속
327,28,2002,Anne-Marie,5-19,Melon Music,무소속
328,29,Psycho,레드벨벳,5-19,Melon Music,SM엔터테인먼트
329,30,00:00 (Zero O’Clock),방탄소년단,5-19,Melon Music,빅히트 엔터테인먼트
330,31,Memories,Maroon 5,5-19,Melon Music,무소속
331,32,내 눈물 모아,휘인,5-19,Melon Music,RBW
332,33,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,5-19,Melon Music,뉴런뮤직
333,34,어떻게 지내 (Prod. By VAN.C),오반,5-19,Melon Music,무소속
334,35,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽,5-19,Melon Music,마크툽컴퍼니 (대표)
